"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc","sig"
"ENSG00000212789.4",0.166532345634272,-1.06068249411339,4.0804728567969,-0.259941073335802,0.79490922801342,NA,"ST13P5","Not significant"
"ENSG00000212802.4",521.722038566846,-0.0234511499170036,0.131721431861269,-0.178035947420483,0.858694744737084,0.957905873045063,"RPL15P3","Not significant"
"ENSG00000212829.8",8.94115981859138,0.604083700509288,0.688274298042962,0.877678713598544,0.380118099379723,NA,"RPS26P3","Not significant"
"ENSG00000212864.4",1.17620876649571,0.369951620335907,1.98355085636234,0.186509773192489,0.852045015425966,NA,"RNF208","Not significant"
"ENSG00000212907.2",58.2106352190108,-0.0301024978539765,0.300179774483025,-0.100281565957665,0.920120791947526,0.977256403443343,"MT-ND4L","Not significant"
"ENSG00000212916.6",0.333064691268545,-1.94065741855234,3.92688634841139,-0.494197500606918,0.621166704744404,NA,"MAP10","Not significant"
"ENSG00000212978.6",11.1401353419702,-0.620838205753735,0.620893492973592,-0.999910955388512,0.317353602159798,0.67291488631723,"C2orf74-DT","Not significant"
"ENSG00000212994.5",82.0532111396218,0.0920668517715949,0.252202271166566,0.365051636314527,0.715072861803868,0.906606687527382,"RPS26P6","Not significant"
"ENSG00000213015.9",8.32659272416493,-0.392284920060226,0.703372867239306,-0.557719722115412,0.57703578817238,NA,"ZNF580","Not significant"
"ENSG00000213018.2",0.169956756700835,0.862870857529096,4.0804728567969,0.211463447451145,0.832525651974875,NA,"PABPN1P1","Not significant"
"ENSG00000213020.10",4.68583761929119,0.392881465549521,1.04388011754753,0.376366460999898,0.706644476334571,NA,"ZNF611","Not significant"
"ENSG00000213023.11",0.509533811530261,-2.55012981318634,3.31377200674547,-0.769554998954464,0.441563907858654,NA,"SYT3","Not significant"
"ENSG00000213024.13",49.8425225356692,0.308627656084346,0.310759064986695,0.993141281647117,0.320641108662831,0.675060378759415,"NUP62","Not significant"
"ENSG00000213025.2",46.423888417419,0.136602800747398,0.304017609779028,0.449325290224755,0.653197016533762,0.882860777974987,"COX20P1","Not significant"
"ENSG00000213041.4",0.312877716709361,-0.0989000797590229,3.72948095103376,-0.0265184568730963,0.978843812319578,NA,"RPL17P8","Not significant"
"ENSG00000213047.13",5.67081589218464,-0.0243048457672471,0.938358241593291,-0.0259014571300387,0.979335937816027,NA,"DENND1B","Not significant"
"ENSG00000213051.3",0.166532345634272,-1.06068249411339,4.0804728567969,-0.259941073335802,0.79490922801342,NA,"RPL5P5","Not significant"
"ENSG00000213057.5",0.157105699220532,0.862870857529096,4.0804728567969,0.211463447451145,0.832525651974875,NA,"C1orf220","Not significant"
"ENSG00000213058.3",0.493482648698224,-0.991630233333358,2.93595744700146,-0.33775361231687,0.73554886958921,NA,"ENSG00000213058","Not significant"
"ENSG00000213062.5",0.157105699220532,0.862870857529096,4.0804728567969,0.211463447451145,0.832525651974875,NA,"ENSG00000213062","Not significant"
"ENSG00000213064.10",16.6338146054728,-0.04333201486975,0.497680980953301,-0.0870678537619583,0.930617577302354,0.978886123842933,"SFT2D2","Not significant"
"ENSG00000213066.14",1.4395638687626,-0.445857006993517,1.9399449664583,-0.229829719245853,0.8182240901875,NA,"CEP43","Not significant"
"ENSG00000213070.3",0.16984460384342,-1.06068249411339,4.0804728567969,-0.259941073335802,0.79490922801342,NA,"HMGB3P6","Not significant"
"ENSG00000213079.10",1.32161565028338,-1.72321560779298,2.11572734878913,-0.814479053163068,0.415370567339465,NA,"SCAF8","Not significant"
"ENSG00000213087.3",0.146345371075088,0.862870857529096,4.0804728567969,0.211463447451145,0.832525651974875,NA,"ENSG00000213087","Not significant"
"ENSG00000213096.11",13.0382701111503,-0.470443493662252,0.597949492545538,-0.786761255803598,0.431421637912676,0.747631497007136,"ZNF254","Not significant"
"ENSG00000213104.3",1.31710833967579,3.83396320024835,2.39354969327839,1.6017896812483,0.109202125632488,NA,"NPM1P46","Not significant"
"ENSG00000213123.11",12.9006942522829,-1.75394748718433,0.656062910957108,-2.67344405222596,0.00750767981840508,0.0736721355083492,"DYNLT2B","Not significant"
"ENSG00000213139.8",0.641161701505016,1.37929896319479,2.85686026510662,0.482802389756825,0.6292360538299,NA,"CRYGS","Not significant"
"ENSG00000213144.2",0.802561012252683,3.10327669744369,2.55935077845668,1.21252495889407,0.225311494459005,NA,"ENSG00000213144","Not significant"
"ENSG00000213145.10",337.616401360854,-0.740134091900128,0.146874178714074,-5.03923901655293,4.67386491883425e-07,3.09084719197691e-05,"CRIP1","Significant"
"ENSG00000213147.3",0.146345371075088,0.862870857529096,4.0804728567969,0.211463447451145,0.832525651974875,NA,"RPL23AP60","Not significant"
"ENSG00000213160.10",1.83584894793459,-1.49777313063255,1.56871387291034,-0.954777768270658,0.339690092350362,NA,"KLHL23","Not significant"
"ENSG00000213169.3",0.169956756700835,0.862870857529096,4.0804728567969,0.211463447451145,0.832525651974875,NA,"RPL8P4","Not significant"
"ENSG00000213174.3",0.146345371075088,0.862870857529096,4.0804728567969,0.211463447451145,0.832525651974875,NA,"RPL28P1","Not significant"
"ENSG00000213178.3",123.579065570813,-0.021596923613874,0.201318967425035,-0.107277142785446,0.914569117299529,0.976041589405644,"RPL22P1","Not significant"
"ENSG00000213185.7",50.0511251539323,-0.289026280465279,0.309297350847676,-0.9344608987861,0.350066196685457,0.699672385228095,"FAM24B","Not significant"
"ENSG00000213186.8",5.87714332068477,-0.769103957299355,0.856819757272737,-0.897626310284228,0.369384807417498,NA,"TRIM59","Not significant"
"ENSG00000213189.5",1.30627866902393,-0.100240498492882,1.70551313141537,-0.0587743926718959,0.953131804879246,NA,"BTF3L4P2","Not significant"
"ENSG00000213190.4",2.83937606947795,0.872789358194261,1.30329797658807,0.669677521083211,0.503063384411003,NA,"MLLT11","Not significant"
"ENSG00000213199.8",0.157105699220532,0.862870857529096,4.0804728567969,0.211463447451145,0.832525651974875,NA,"ASIC3","Not significant"
"ENSG00000213213.14",1.0196283873476,2.21149270419471,2.46112661416127,0.898569253393881,0.368882141997883,NA,"CCDC183","Not significant"
"ENSG00000213221.5",5.786509832682,0.888360433053765,0.90099544600214,0.985976607313124,0.324144592160339,NA,"DNLZ","Not significant"
"ENSG00000213222.3",0.16984460384342,-1.06068249411339,4.0804728567969,-0.259941073335802,0.79490922801342,NA,"TOMM40P4","Not significant"
"ENSG00000213246.7",424.05719165198,0.148880349304655,0.128633396621427,1.15740043577342,0.247108796100623,0.616264345021075,"SUPT4H1","Not significant"
"ENSG00000213261.3",51.1301150173786,0.0501553776361507,0.290498780622001,0.172652627073892,0.862924482582421,0.95943577339756,"EEF1B2P6","Not significant"
"ENSG00000213280.2",5.96018364029657,-0.398851834794163,0.841068006884594,-0.474220671252914,0.635342554114671,NA,"ENSG00000213280","Not significant"
"ENSG00000213281.5",13.8276800281648,0.569248063926642,0.588788361548679,0.966812697230223,0.333637675860108,0.685142783233889,"NRAS","Not significant"
"ENSG00000213285.4",0.157105699220532,0.862870857529096,4.0804728567969,0.211463447451145,0.832525651974875,NA,"RPL23AP45","Not significant"
"ENSG00000213293.4",0.509344950030089,-1.0015313714654,3.11450209126434,-0.321570299880205,0.747778246894049,NA,"ENSG00000213293","Not significant"
"ENSG00000213300.5",5.66194790712872,-0.0351682477873099,0.885644645899849,-0.0397092083716913,0.96832496024972,NA,"HNRNPA3P6","Not significant"
"ENSG00000213307.4",0.502909295111965,-2.53401429108689,3.05639617227999,-0.829085677461958,0.407055927659035,NA,"RPL18P11","Not significant"
"ENSG00000213315.5",0.643101923661083,1.38334528846274,2.50418883183855,0.552412530107445,0.580665747764217,NA,"ENSG00000213315","Not significant"
"ENSG00000213316.10",0.157105699220532,0.862870857529096,4.0804728567969,0.211463447451145,0.832525651974875,NA,"LTC4S","Not significant"
"ENSG00000213326.4",5.50969220120793,0.0633468888027702,0.877847996014206,0.0721615690761855,0.942473328840826,NA,"RPS7P11","Not significant"
"ENSG00000213337.9",79.505113380475,0.563417576450589,0.25103610880121,2.24436866529328,0.0248086908865596,0.16453787284211,"ANKRD39","Not significant"
"ENSG00000213339.9",69.3696587201603,-0.231895583627609,0.292604608346295,-0.792521980218312,0.428056380633461,0.745146962701445,"QTRT1","Not significant"
"ENSG00000213341.11",2.5840169708944,0.651311071924884,1.46599700046509,0.444278584279678,0.656841182614223,NA,"CHUK","Not significant"
"ENSG00000213347.11",13.402208048198,0.123159781796653,0.567065953518137,0.217187755732038,0.828062026463027,0.945320747248134,"MXD3","Not significant"
"ENSG00000213362.3",0.169956756700835,0.862870857529096,4.0804728567969,0.211463447451145,0.832525651974875,NA,"FTH1P12","Not significant"
