GENEID	SKMM2control1_gene.sorted	SKMM2control2_gene.sorted	SKMM2control3_gene.sorted	SKMM2IL61_gene.sorted	SKMM2IL62_gene.sorted	SKMM2IL63_gene.sorted	sub_SKMM2_drna_control1_gene.sorted	sub_SKMM2_drna_control2_gene.sorted	sub_SKMM2_drna_control3_gene.sorted	sub_SKMM2_drna_IL61_gene.sorted	sub_SKMM2_drna_IL62_gene.sorted	sub_SKMM2_drna_IL63_gene.sorted
ENSG00000229957.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229960.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229961.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229962.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229964.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229965.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229967.1	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000229968.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229969.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229970.3	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000229971.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229972.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229975.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229976.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229977.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229978.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229979.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229980.5	0	1	2	0	0	0	3	4	1	1	1	3
ENSG00000229981.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229982.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229983.1	0	0	0	1	0	2	0	0	0	0	0	0
ENSG00000229985.2	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000229986.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229988.3	0	0	139	0	0	0	0	0	0	0	0	0
ENSG00000229989.6	4.00001	4	0	5	2	4	0	3	0	3	1	3
ENSG00000229990.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229991.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229992.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229994.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229996.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229999.6	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000230000.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230001.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230002.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230003.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230005.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230006.10	0	1	0	0	0	0	2	2	1	1	0	1
ENSG00000230009.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230010.2	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000230011.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230013.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230014.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230015.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230018.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230019.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230020.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230022.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230023.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230025.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230026.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230027.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230029.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230030.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230031.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230033.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230035.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230037.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230039.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230040.2	2	0	3	4	2	1	0	3	1	4	1	0
ENSG00000230042.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230043.1	0	0	0	0	28	0	0	0	0	0	0	0
ENSG00000230044.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230045.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230046.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230047.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230051.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230052.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230053.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230054.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230056.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230061.2	4	5	5	0	1	0	2	2	0	1	0	1
ENSG00000230062.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230063.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230064.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230065.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230066.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230067.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230068.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230069.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230071.2	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000230073.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230074.5	8	4	15	2	3	6	5	4.99999	3	3	2	2
ENSG00000230076.1	34	16	11	23	28	26	2	5	1	0	4	1
ENSG00000230077.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230079.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230080.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230081.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230082.1	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000230083.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230084.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230086.1	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000230087.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230088.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230090.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230091.6	2	1	2	0	1	0	0	1	0	0	0	0
ENSG00000230092.8	3	7	6	7	7	5	0	0	0	1	2	0
ENSG00000230096.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230097.2	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000230098.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230099.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230100.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230101.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230102.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230104.1	1	0	0	0	5	1	1	0	2	2	2	0
ENSG00000230105.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230106.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230107.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230109.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230111.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230112.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230113.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230114.1	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230115.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230116.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230118.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230119.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230120.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230121.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230122.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230123.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230124.8	48.00001	69	55	77	75	87	263	262	272	254	256	244.99999
ENSG00000230125.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230126.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230130.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230131.6	0	0	0	0	0	0	1	0	0	2	0	0
ENSG00000230132.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230133.2	0	0	0	0	0	0	0	1	0	0	1	1
ENSG00000230137.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230138.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230140.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230142.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230146.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230147.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230148.8	0	0	2	1	5	0	1	3	8	1	1	0
ENSG00000230149.2	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000230153.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230154.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230155.8	41	51	41	43	36	35	11	16	17	10	18	9
ENSG00000230157.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230158.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230159.1	656	713	668	710	660	617	189	181	182	186	183	192
ENSG00000230160.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230161.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230162.1	2	2	0	1	0	0	1	0	0	0	1	0
ENSG00000230163.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230164.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230165.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230166.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230169.1	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000230170.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230171.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230172.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230173.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230174.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230175.1	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000230176.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230178.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230180.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230182.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230183.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230184.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230185.7	7	6	10	7	3	11	4	5	3	4	4	2
ENSG00000230186.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230187.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230188.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230189.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230190.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230191.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230192.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230194.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230196.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230197.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230198.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230199.1	2	1	0	0	0	0	0	0	0	0	0	0
ENSG00000230201.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230202.1	203	185	163	213	184	195	7	16	10	16	19	13
ENSG00000230203.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230204.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230205.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230207.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230208.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230212.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230213.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230214.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230215.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230216.1	0	0	0	0	0	0	0	0	3	1	1	0
ENSG00000230219.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230221.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230223.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230224.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230225.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230226.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230227.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230228.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230229.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230231.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230233.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230234.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230237.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230239.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230240.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230241.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230243.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230244.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230245.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230246.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230247.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230248.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230249.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230250.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230251.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230252.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230256.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230257.7	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000230258.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230260.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230261.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230262.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230266.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230267.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230268.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230269.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230271.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230273.1	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000230274.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230275.2	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000230276.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230280.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230282.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230283.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230284.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230285.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230286.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230287.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230289.1	0	1	0	0	0	0	0	2	0	1	0	0
ENSG00000230290.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230291.5	3	0	1	0	0	2	0	1	0	0	0	0
ENSG00000230292.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230294.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230295.1	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000230298.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230299.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230300.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230301.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230302.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230303.6	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000230304.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230305.2	0	0	1	0	1	0	1	0	3	0	0	1
ENSG00000230306.1	0	0	0	0	0	0	0	0	4	0	0	0
ENSG00000230307.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230309.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230310.1	0	0	0	0	1	0	2	2	0	1	3	2
ENSG00000230311.2	2	1	3	2	2	3	0	0	1	1	1	1
ENSG00000230312.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230313.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230314.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230316.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230317.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230318.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230319.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230320.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230321.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230322.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230323.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230324.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230325.1	0	0	0	0	0	0	7	2	0	4	3	2
ENSG00000230326.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230327.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230328.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230330.1	47	43	58	54	72	53	2883	2779	2863	2942	2895	3149
ENSG00000230331.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230333.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230335.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230337.4	3	1	3	2	0	0	9	6	6	5	9	2
ENSG00000230338.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230339.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230342.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230343.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230347.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230350.1	0	1	0	1	0	0	0	0	1	0	0	0
ENSG00000230352.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230353.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230355.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230356.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230358.6	0	0	0	0	0	0	0	0	1	1	0	0
ENSG00000230359.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230360.1	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000230361.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230362.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230364.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230365.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230366.10	1	8	8	1	0	0	0	0	1	0	0	0
ENSG00000230368.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230370.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230371.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230373.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230375.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230376.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230377.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230379.5	0	0	1	0	1	0	0	0	0	0	0	0
ENSG00000230381.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230383.1	6	2	6	6	3	3	2	0	0	2	0	0
ENSG00000230384.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230385.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230386.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230387.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230390.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230391.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230392.1	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000230393.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230395.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230397.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230398.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230399.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230400.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230401.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230402.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230403.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230404.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230405.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230406.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230407.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230408.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230409.3	5	4	5	9	8	1	3	18	17	3	24	1
ENSG00000230411.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230412.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230415.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230416.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230417.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230418.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230423.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230424.3	89	91	72	64	46	60	10	18	15	8	8	5
ENSG00000230425.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230426.5	0	3	3	1	1	1	2	3	1	2	0	0
ENSG00000230428.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230430.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230432.1	0	0	1	0	0	0	0	1	0	0	0	0
ENSG00000230433.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230434.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230435.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230437.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230438.9	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000230440.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230442.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230444.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230445.5	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000230447.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230448.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230449.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230450.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230451.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230452.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230453.11	0	0	0	0	0	0	1	0	0	1	0	0
ENSG00000230454.1	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000230457.3	0	0	0	0	0	0	462	416	435	601	659	670
ENSG00000230458.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230459.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230461.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230465.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230468.1	0	0	4	2	6	38	75	72	64	56	39	42
ENSG00000230469.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230470.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230471.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230472.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230474.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230476.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230477.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230478.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230479.1	4	1	2	0	0	2	0	1	4	1	0	0
ENSG00000230480.1	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230481.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230482.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230483.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230484.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230485.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230487.9	19	23	25	10	23	9	12	16	3	7	5	6
ENSG00000230489.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230490.4	1	3	1	5	5	7	0	2	3	2	3	2
ENSG00000230491.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230492.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230495.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230496.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230497.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230498.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230499.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230500.1	100	70	45	57	65	63	20	18	19	16	14	16
ENSG00000230501.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230502.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230506.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230507.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230508.1	0	0	0	0	0	0	0	0	0	1	1	0
