GENEID	SKMM2control1_gene.sorted	SKMM2control2_gene.sorted	SKMM2control3_gene.sorted	SKMM2IL61_gene.sorted	SKMM2IL62_gene.sorted	SKMM2IL63_gene.sorted	sub_SKMM2_drna_control1_gene.sorted	sub_SKMM2_drna_control2_gene.sorted	sub_SKMM2_drna_control3_gene.sorted	sub_SKMM2_drna_IL61_gene.sorted	sub_SKMM2_drna_IL62_gene.sorted	sub_SKMM2_drna_IL63_gene.sorted
BambuGene5480	10	12	13	5	1	5	13	8	4	5	5	1
BambuGene5483	0	0	0	0	0	0	2	1	0	0	0	0
BambuGene5485	230	218	168	101	108	89	51	42	53	22	32	19
BambuGene5491	7	20	16	12	23	18	12	10	11	8	3	6
BambuGene5510	20	28	31	20	25	8	13	11	10	6	18	9
BambuGene5521	22	14	18	6	13	14	5	3	4	1	2	1
BambuGene5557	14	1	12	15	4	6	1	1	1	3	2	1
BambuGene5563	36	36	37	24	39	22	5	2	3	6	1	2
BambuGene5569	77	49	64	78	89	51	46	42	42	37	45	40
BambuGene5586	1	5	2	5	3	0	0	2	2	3	4	1
BambuGene572	6	5	2	9	10	5	2	1	2	0	4	4
BambuGene58	40	10	39	29	37	19	6	8	5	7	10	5
BambuGene591	2	3	1	3	2	6	16	20	16	10	6	12
BambuGene603	6	3	8	4	3	0	2	2	3	4	1	4
BambuGene635	70	55	71	38.00001	38	31	50.00001	40	33	37	24.99999	38
BambuGene645	212	195	227	167	189	174	27	35	33	34	30	27
BambuGene698	3	4	0	3	2	0	9	3	8	6	1	1
BambuGene709	3	0	3	4	2	2	2	2	2	0	0	0
BambuGene740	11	4	9	19	8	14	5	2	2	0	2	0
BambuGene768	3	7	4	2	4	3	5	2	14	9	8	5
BambuGene790	1	0	0	0	3	0	1	0	1	0	2	0
BambuGene806	0	3	8	3	4	1	1	4	5	2	0	4
BambuGene813	23	22	19	3	6	9	6	7	9	2	0	2
BambuGene828	16	29	17	16	12	12	16	20	20	12	12	10
BambuGene835	13	22	31	24	14	12	3	1	4	3	2	3
BambuGene84	29	24	31	14	19	23	30	11	18	9	17	8
BambuGene842	190	198	274	173	145	179	67	64	65	38	46	32
BambuGene858	4	8	4	9	3	4	25	14	19	17	16	10
BambuGene953	7	1	5	2	1	0	0	3	1	0	0	0
ENSG00000000003.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000005.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.14	256	263.99999	302	233	376	323.00001	320.00001	281.00001	344.99999	395.99999	393	333
ENSG00000000457.14	2.00001	3	6.99999	5.99999	4	8	8	6	15	20	23	11
ENSG00000000460.17	18	20	22	32	41	16	57	58	62	69	70	83.00001
ENSG00000000938.13	1	2	0	1	0	0	6	4	2	1	0	2
ENSG00000000971.17	0	0	0	2.00002	0	0	0	0	1	4	5	2
ENSG00000001036.14	20	22	28	20	36	11	133	118	121	125	131	131
ENSG00000001084.13	14	18	14	12	12	8	96	69	83	93	90	69
