	SKMM2_cDNA_control_1	SKMM2_cDNA_control_2	SKMM2_cDNA_control_3	SKMM2_cDNA_IL6_1	SKMM2_cDNA_IL6_2	SKMM2_cDNA_IL6_3	SKMM2_dRNA_control_1	SKMM2_dRNA_control_2	SKMM2_dRNA_control_3	SKMM2_dRNA_IL6_1	SKMM2_dRNA_IL6_2	SKMM2_dRNA_IL6_3
BambuGene572	4	3	2	6	10	2	2	1	2	0	2	2
BambuGene58	5	3	2	8	6	2	1	5	1	3	2	2
BambuGene591	2	3	1	3	2	6	11	8	13	8	3	9
BambuGene603	6	3	8	4	3	0	2	2	3	4	1	4
BambuGene635	44	48	59	30.00001	31	24	38.00001	28	27	31	19.99999	30
BambuGene645	185	159	197	139	160	140	23	30	28	29	23	24
BambuGene698	2	0	0	1	1	0	6	2	6	4	0	1
BambuGene709	3	0	3	3	2	1	1	1	0	0	0	0
BambuGene740	11	0	9	17	8	12	3	0	2	0	1	0
BambuGene768	0	0	0	0	0	0	0	0	1	3	3	1
BambuGene790	1	0	0	0	2	0	1	0	1	0	2	0
BambuGene806	0	1	3	0	2	0	1	4	4	0	0	4
BambuGene813	16	14	14	3	6	9	5	5	8	2	0	2
BambuGene828	11	16	13	10	7	10	13	16	14	12	11	8
BambuGene835	4	17	20	9	13	7	1	0	4	2	1	2
BambuGene84	18	12	11	5	8	13	19	7	6	7	5	3
BambuGene842	178	186	259	157	143	174	56	57	58	29	37	30
BambuGene858	4	1	0	6	1	2	18	7	8	10	11	6
BambuGene953	2	1	5	1	0	0	0	2	1	0	0	0
ENSG00000000003.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000005.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.14	251	260.99999	295	227	361	318.00001	314.00001	275.00001	335.99999	385.99999	384	321
ENSG00000000457.14	2.00001	3	6.99999	3.99999	4	8	7	5	11	17	17	9
ENSG00000000460.17	17	20	21	30	41	16	46	53	57	60	65	70.00001
ENSG00000000938.13	1	2	0	0	0	0	6	3	2	1	0	2
ENSG00000000971.17	0	0	0	2.00002	0	0	0	0	1	4	5	2
ENSG00000001036.14	14	19	19	18	30	9	114	104	101	111	108	113
ENSG00000001084.13	14	16	14	12	12	8	92	67	80	89	88	68
ENSG00000001167.15	13	10	17	11	13	11	53.99999	50	45	72	47	48
