"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","feature","TXNAME","GENEID","NDR","novelGene","novelTranscript","txClassDescription","readCount","relReadCount","relSubsetCount","txid"
10.044580549397,-1.82074545580505,0.742461835519988,-2.43963227561647,0.0147022190836632,0.0282587715515585,"BambuTx47","BambuTx47","ENSG00000156171.15",0.0503216911764706,FALSE,TRUE,"newWithin",101,0.138166894664843,1,47
10.953338065706,3.61519402809393,0.829117703115276,4.30774143094221,1.64930027886198e-05,6.05874642907049e-05,"BambuTx48","BambuTx48","ENSG00000236137.1",0.0471931269859951,FALSE,TRUE,"allNew",100,0.763358778625954,1,48
11.863178627493,0.937145179631732,0.683823751294233,1.37065560580689,0.170482340029421,0.233406827331231,"BambuTx49","BambuTx49","ENSG00000291158.1",0.0957809769493218,FALSE,TRUE,"newWithin",80,0.109140518417462,1,49
86.0742733543281,3.62846533054811,0.36597490873638,9.90091271667549,4.12493107171836e-23,5.90274487560553e-22,"BambuTx50","BambuTx50","ENSG00000160688.19",0.0492411076352682,FALSE,TRUE,"newJunction",572,0.327044025157233,1,50
8.76089801019567,1.22759267988508,0.985994489485407,1.24525448667985,0.213038219863119,0.281895565014049,"BambuTx51","BambuTx51","ENSG00000229953.1",0.059086078639745,FALSE,TRUE,"newLastJunction:newLastExon",73,0.70873786407767,1,51
9.78976708817065,1.14572215993929,0.724815711755336,1.58060873060689,0.113967528349062,0.165205326819634,"BambuTx52","BambuTx52","ENSG00000163568.16",0.104825949367089,FALSE,TRUE,"newFirstJunction:newJunction",40,0.236686390532544,1,52
13.5199774113106,1.91897714930627,0.644047126636909,2.97729875728528,0.00290800484867806,0.00670934878687002,"BambuTx53","BambuTx53","ENSG00000117091.10",0.0872717742639993,FALSE,TRUE,"newFirstJunction:newJunction",147,0.159782608695652,1,53
30.2530612469435,4.12250173333461,0.537891977900454,7.60526845172038,2.84313107938693e-14,2.60113885867191e-13,"BambuTx54","BambuTx54","BambuGene425",0.0650521836052285,TRUE,TRUE,"newGene-spliced",415,0.810546875,1,54
24.9217019075791,-1.66934869419901,1.01559746308631,-1.64220586222418,0.100547348218908,0.148297450016652,"BambuTx55","BambuTx55","ENSG00000026751.17",0.103525105434869,FALSE,TRUE,"newWithin",295,0.150127226463104,1,55
63.1456743123315,3.92853682270328,0.40960366050106,9.56478992145921,1.1242957636581e-21,1.53343413115739e-20,"BambuTx58","BambuTx58","BambuGene442",0.0124677558039553,TRUE,TRUE,"newGene-spliced",413,1,1,58
12.5015992761735,3.48470634097917,0.739627355699287,4.66784362829103,3.04377410317056e-06,1.26853244415374e-05,"BambuTx59","BambuTx59","BambuGene179",0.105292259083728,TRUE,TRUE,"newGene-spliced",63,0.287671232876712,1,59
6.90604963311184,2.74433613425832,1.1270989646714,2.42168164280677,0.0154488780642431,0.0295394398400961,"BambuTx61","BambuTx61","ENSG00000287684.1",0.0985374622109649,FALSE,TRUE,"newLastJunction:newLastExon",87,0.296928327645051,1,61
7.73683928354346,2.36404858940401,0.885653417396302,2.66116413391622,0.00778709870800294,0.0161819036005125,"BambuTx62","BambuTx62","ENSG00000196890.5",0.0808044206902799,FALSE,TRUE,"allNew",72,0.306382978723404,1,62
24.5020577610478,4.208115960006,0.682869936643119,6.10208983403176,1.04690502570837e-09,6.74640137914374e-09,"BambuTx63","BambuTx63","ENSG00000135778.12",0.0609743429936637,FALSE,TRUE,"newWithin",154,0.0822649572649573,1,63
13.8334677214712,4.21511105043944,0.795637445915837,5.19662227177907,2.02942135909797e-07,1.0067089917346e-06,"BambuTx64","BambuTx64","ENSG00000135750.15",0.11127267161552,FALSE,TRUE,"allNew",164,0.164328657314629,1,64
20.0572430618638,-2.8191251793212,0.922996879443924,-3.03512195422577,0.0024043844255248,0.0056559907693422,"BambuTx65","BambuTx65","ENSG00000135750.15",0.0407578212638664,FALSE,TRUE,"newFirstJunction:newFirstExon",269,0.269539078156313,1,65
27.1512664130038,4.10465397975741,0.670585832253409,6.07429921262178,1.2453034202043e-09,7.96467346132713e-09,"BambuTx67","BambuTx67","BambuGene237",0.0183579806221316,TRUE,TRUE,"newGene-spliced",351,0.726708074534162,1,67
17.38583154798,4.14382218598577,0.849685454623109,4.81422873182337,1.47769479177668e-06,6.46415973990946e-06,"BambuTx69","BambuTx69","ENSG00000285520.1",0.0784602633760015,FALSE,TRUE,"allNew",252,0.313432835820896,1,69
13.959725975368,3.49867405992519,0.714341276854301,4.85707807746656,1.19130628312145e-06,5.28823764702691e-06,"BambuTx72","BambuTx72","ENSG00000107614.22",0.0938682816048448,FALSE,TRUE,"newLastJunction:newLastExon",92,0.491978609625668,1,72
64.9375506907381,2.71886221136515,0.355490835249287,7.64362285028342,2.11193432370294e-14,1.95026210995741e-13,"BambuTx73","BambuTx73","ENSG00000204832.10",0.0292815312098272,FALSE,TRUE,"newWithin",464,0.353658536585366,1,73
330.085943479021,3.93105949122593,0.270149072061894,14.545016734513,6.28154842948082e-48,1.65384700644729e-46,"BambuTx74","BambuTx74","BambuGene506",0.0768445475638051,TRUE,TRUE,"newGene-spliced",248,0.953846153846154,1,74
91.0850649049009,4.97681090232312,0.374554703822654,13.2067096218937,8.0256640125576e-40,1.81482626754409e-38,"BambuTx77","BambuTx77","ENSG00000291093.1",0.0179744210162461,FALSE,TRUE,"newLastJunction:newJunction:newLastExon",496,0.458410351201479,1,77
13.1321828785472,1.3609239415911,0.592992038708629,2.294549907703,0.0217589318007369,0.0397944327352794,"BambuTx79","BambuTx79","BambuGene635",0.055646660107139,TRUE,TRUE,"newGene-spliced",140,0.348258706467662,1,79
9.05168226946964,1.06610347844685,0.808023068240535,1.31958056460739,0.186975095363797,0.252251539236397,"BambuTx80","BambuTx80","BambuGene635",0.0486895748398369,TRUE,TRUE,"newGene-spliced",117,0.291044776119403,1,80
6.13210944088607,1.22002114068828,0.889025998937159,1.37232946359282,0.169960897452694,0.232807173770846,"BambuTx81","BambuTx81","BambuGene635",0.0692133503987398,TRUE,TRUE,"newGene-spliced",82,0.203980099502488,1,81
111.689852391174,3.69142410775789,0.268657537280428,13.7229457563823,7.39968037979651e-43,1.7968187616537e-41,"BambuTx84","BambuTx84","BambuGene645",0.00637295649764478,TRUE,TRUE,"newGene-spliced",1135,0.885335413416537,1,84
110.447783576993,3.64085925357714,0.31320664520299,11.6116414755755,3.59644365792571e-31,6.54552745742479e-30,"BambuTx85","BambuTx85","ENSG00000213025.2",0.045686483920731,FALSE,TRUE,"allNew",329,1,1,85
